City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,izhma,100,RU,1556678536,85,65.01,53.91,33.31,11.32
1,ushuaia,75,AR,1556676000,64,-54.81,-68.31,37.4,7.4
2,vaini,20,IN,1556676000,94,15.34,74.49,71.6,5.82
3,nuuk,0,GL,1556677960,86,64.17,-51.74,33.8,1.54
4,bluff,55,AU,1556678537,47,-23.58,149.07,81.69,14.94
5,glenwood springs,90,US,1556678310,92,39.55,-107.33,51.8,6.44
6,hobart,0,AU,1556678354,45,-42.88,147.33,64.0,1.12
7,puerto ayora,24,EC,1556677819,95,-0.74,-90.35,78.01,7.78
8,hermanus,29,ZA,1556677927,93,-34.42,19.24,57.99,3.31
9,saint george,20,GR,1556675400,46,39.45,22.34,53.6,8.05
10,mataura,3,NZ,1556678413,62,-46.19,168.86,64.0,1.01
11,cidreira,2,BR,1556678539,76,-30.17,-50.22,67.2,5.97
12,ambikapur,0,IN,1556678539,28,23.12,83.2,93.63,12.91
13,kaitangata,7,NZ,1556678441,48,-46.28,169.85,64.0,11.01
14,acapulco,40,MX,1556675220,78,16.86,-99.88,80.6,5.82
15,santa maria do para,100,BR,1556678540,99,-1.35,-47.58,74.35,1.83
16,hilo,20,US,1556678540,61,19.71,-155.08,79.0,10.29
17,dembi dolo,95,ET,1556678541,50,8.53,34.8,75.86,2.21
18,tasiilaq,86,GL,1556675400,100,65.61,-37.64,37.4,4.7
19,fayaoue,45,NC,1556678541,75,-20.65,166.53,77.21,16.78
20,rikitea,5,PF,1556678541,71,-23.12,-134.97,72.08,20.74
21,maracacume,100,BR,1556678542,98,-2.04,-45.96,74.49,1.99
22,new norfolk,0,AU,1556678534,45,-42.78,147.06,64.0,1.12
23,nome,90,US,1556678505,78,30.04,-94.42,77.0,11.41
24,sedro-woolley,1,US,1556678527,33,48.5,-122.23,62.6,3.24
25,yagodnoye,2,RU,1556678543,78,62.52,149.63,28.3,3.96
26,longyearbyen,75,NO,1556675400,61,78.22,15.63,17.6,8.05
27,shakawe,0,BW,1556678543,49,-18.36,21.84,65.11,3.76
28,yamandu,94,SL,1556678544,97,7.94,-11.49,75.46,1.79
29,kajaani,0,FI,1556675400,83,64.22,27.73,37.4,6.93
30,barrow,89,AR,1556678544,35,-38.31,-60.23,47.29,7.9
31,cape town,75,ZA,1556678465,100,-33.93,18.42,59.0,5.82
32,cayenne,78,GF,1556676000,88,4.94,-52.33,78.8,9.17
33,nyagan,48,RU,1556678545,81,62.14,65.43,29.33,10.63
